token,level,duration_min,output_token,output_amount,input_token_1,input_amount_1,input_token_2,input_amount_2,upgrade_token,upgrade_amount
MUD,1,0.1,MUD,1,EARTH,3,,,EARTH,1
MUD,2,0.166666667,MUD,2,EARTH,6,,,MUD,3
MUD,3,0.233333333,MUD,4,EARTH,12,,,MUD,6
MUD,4,0.616666667,MUD,14,EARTH,42,,,CLAY,2
MUD,5,1,MUD,28,EARTH,84,,,SAND,2
MUD,6,2,MUD,65,EARTH,195,,,SAND,4
MUD,7,5,MUD,185,EARTH,555,,,SAND,6
MUD,8,10,MUD,412,EARTH,1236,,,SAND,20
MUD,9,20,MUD,903,EARTH,2709,,,SAND,35
MUD,10,30,MUD,1470,EARTH,4410,,,SAND,50
MUD,11,40,MUD,2107,EARTH,6321,,,COPPER,2
MUD,12,44.98333333,MUD,2527,EARTH,7581,,,COPPER,3
MUD,13,50,MUD,2975,EARTH,8925,,,COPPER,5
MUD,14,54,MUD,3384,EARTH,10152,,,COPPER,8
MUD,15,57,MUD,3743,EARTH,11229,,,COPPER,12
MUD,16,60,MUD,4110,EARTH,12330,,,COPPER,16
MUD,17,62,MUD,4412,EARTH,13236,,,COPPER,21
MUD,18,64,MUD,4714,EARTH,14142,,,COPPER,26
MUD,19,66,MUD,5016,EARTH,15048,,,COPPER,32
MUD,20,68,MUD,5315,EARTH,15945,,,COPPER,39
MUD,21,70,MUD,5611,EARTH,16833,,,COPPER,47
MUD,22,72,MUD,5910,EARTH,17730,,,COPPER,55
MUD,23,74,MUD,6210,EARTH,18630,,,COPPER,64
MUD,24,76,MUD,6511,EARTH,19533,,,COPPER,75
MUD,25,78,MUD,6812,EARTH,20436,,,STEEL,17
MUD,26,80,MUD,7116,EARTH,21348,,,STEEL,20
MUD,27,82,MUD,7422,EARTH,22266,,,STEEL,23
MUD,28,83.98333333,MUD,7730,EARTH,23190,,,STEEL,26
MUD,29,86,MUD,8042,EARTH,24126,,,STEEL,30
MUD,30,88,MUD,8357,EARTH,25071,,,STEEL,34
MUD,31,90,MUD,8675,EARTH,26025,,,STEEL,39
MUD,32,91.75,MUD,8970,EARTH,26910,,,STEEL,44
MUD,33,93.5,MUD,9268,EARTH,27804,,,STEEL,50
MUD,34,95.25,MUD,9566,EARTH,28698,,,STEEL,56
MUD,35,97,MUD,9866,EARTH,29598,,,STEEL,64
MUD,36,98.75,MUD,10168,EARTH,30504,,,STEEL,72
MUD,37,100.5,MUD,10471,EARTH,31413,,,STEEL,81
MUD,38,102,MUD,10748,EARTH,32244,,,STEEL,91
MUD,39,103.5,MUD,11026,EARTH,33078,,,SCREWS,34
MUD,40,105,MUD,11306,EARTH,33918,,,SCREWS,39
MUD,41,106.4833333,MUD,11588,EARTH,34764,,,SCREWS,43
MUD,42,108,MUD,11872,EARTH,35616,,,SCREWS,49
MUD,43,109.5,MUD,12158,EARTH,36474,,,SCREWS,55
MUD,44,111,MUD,12445,EARTH,37335,,,SCREWS,62
MUD,45,112.5,MUD,12733,EARTH,38199,,,SCREWS,69
MUD,46,114,MUD,13023,EARTH,39069,,,SCREWS,78
MUD,47,115.5,MUD,13314,EARTH,39942,,,SCREWS,87
MUD,48,117,MUD,13605,EARTH,40815,,,SCREWS,100
MUD,49,118.5,MUD,13897,EARTH,41691,,,SCREWS,120
MUD,50,120,MUD,14192,EARTH,42576,,,SCREWS,150
CLAY,1,0.5,CLAY,1,MUD,10,,,EARTH,1
CLAY,2,0.5,CLAY,2,MUD,20,,,CLAY,1
CLAY,3,0.883333333,CLAY,5,MUD,50,,,SAND,1
CLAY,4,1.433333333,CLAY,10,MUD,100,,,CLAY,10
CLAY,5,5,CLAY,40,MUD,400,,,SAND,4
CLAY,6,11.21666667,CLAY,100,MUD,1000,,,SAND,7
CLAY,7,20.51666667,CLAY,200,MUD,2000,,,SAND,11
CLAY,8,30,CLAY,315,MUD,3150,,,SAND,28
CLAY,9,40,CLAY,448,MUD,4480,,,COPPER,1
CLAY,10,55.01666667,CLAY,652,MUD,6520,,,COPPER,2
CLAY,11,65.06666667,CLAY,810,MUD,8100,,,COPPER,3
CLAY,12,75,CLAY,975,MUD,9750,,,COPPER,5
CLAY,13,85.03333333,CLAY,1148,MUD,11480,,,COPPER,9
CLAY,14,94.93333333,CLAY,1326,MUD,13260,,,COPPER,14
CLAY,15,105,CLAY,1512,MUD,15120,,,COPPER,19
CLAY,16,115,CLAY,1702,MUD,17020,,,COPPER,26
CLAY,17,123.95,CLAY,1880,MUD,18800,,,COPPER,33
CLAY,18,132.45,CLAY,2053,MUD,20530,,,COPPER,42
CLAY,19,139.5333333,CLAY,2207,MUD,22070,,,COPPER,52
CLAY,20,146,CLAY,2353,MUD,23530,,,STEEL,13
CLAY,21,153.05,CLAY,2510,MUD,25100,,,STEEL,15
CLAY,22,159.6,CLAY,2660,MUD,26600,,,STEEL,19
CLAY,23,165.5166667,CLAY,2800,MUD,28000,,,STEEL,22
CLAY,24,171.35,CLAY,2940,MUD,29400,,,STEEL,27
CLAY,25,176.8166667,CLAY,3075,MUD,30750,,,STEEL,32
CLAY,26,181.9333333,CLAY,3205,MUD,32050,,,STEEL,37
CLAY,27,187.0166667,CLAY,3335,MUD,33350,,,STEEL,44
CLAY,28,191.7833333,CLAY,3460,MUD,34600,,,STEEL,52
CLAY,29,196.5333333,CLAY,3585,MUD,35850,,,STEEL,61
CLAY,30,201,CLAY,3705,MUD,37050,,,STEEL,71
CLAY,31,205.2,CLAY,3820,MUD,38200,,,STEEL,83
CLAY,32,209.4,CLAY,3935,MUD,39350,,,STEEL,98
CLAY,33,213.6333333,CLAY,4050,MUD,40500,,,SCREWS,38
CLAY,34,217.6166667,CLAY,4160,MUD,41600,,,SCREWS,44
CLAY,35,221.3666667,CLAY,4265,MUD,42650,,,SCREWS,52
CLAY,36,225.1666667,CLAY,4370,MUD,43700,,,SCREWS,60
CLAY,37,229,CLAY,4475,MUD,44750,,,SCREWS,70
CLAY,38,232.6333333,CLAY,4575,MUD,45750,,,SCREWS,82
CLAY,39,236.3166667,CLAY,4675,MUD,46750,,,SCREWS,100
CLAY,40,240,CLAY,4775,MUD,47750,,,SCREWS,150
SAND,1,2,SAND,1,CLAY,3,,,EARTH,1
SAND,2,2,SAND,2,CLAY,6,,,SAND,1
SAND,3,3.533333333,SAND,5,CLAY,15,,,SAND,5
SAND,4,5.55,SAND,10,CLAY,30,,,SAND,10
SAND,5,9.233333333,SAND,20,CLAY,60,,,SAND,17
SAND,6,15.9,SAND,40,CLAY,120,,,SAND,27
SAND,7,24.56666667,SAND,70,CLAY,210,,,SAND,40
SAND,8,39.46666667,SAND,125,CLAY,375,,,SAND,60
SAND,9,64.9,SAND,225,CLAY,675,,,COPPER,3
SAND,10,89.33333333,SAND,335,CLAY,1005,,,COPPER,5
SAND,11,113.2833333,SAND,455,CLAY,1365,,,COPPER,10
SAND,12,134.7666667,SAND,575,CLAY,1725,,,COPPER,15
SAND,13,151.9333333,SAND,685,CLAY,2055,,,COPPER,21
SAND,14,168.7166667,SAND,800,CLAY,2400,,,COPPER,28
SAND,15,185.2333333,SAND,920,CLAY,2760,,,COPPER,36
SAND,16,199.6833333,SAND,1035,CLAY,3105,,,COPPER,46
SAND,17,213.3,SAND,1150,CLAY,3450,,,COPPER,57
SAND,18,225.1666667,SAND,1260,CLAY,3780,,,COPPER,71
SAND,19,236.3833333,SAND,1370,CLAY,4110,,,COPPER,87
SAND,20,247.0166667,SAND,1480,CLAY,4440,,,COPPER,106
SAND,21,257.15,SAND,1590,CLAY,4770,,,STEEL,26
SAND,22,266.8333333,SAND,1700,CLAY,5100,,,STEEL,31
SAND,23,276.1666667,SAND,1810,CLAY,5430,,,STEEL,37
SAND,24,284.4,SAND,1915,CLAY,5745,,,STEEL,44
SAND,25,292.4,SAND,2020,CLAY,6060,,,STEEL,53
SAND,26,300.8833333,SAND,2130,CLAY,6390,,,STEEL,63
SAND,27,308.45,SAND,2235,CLAY,6705,,,STEEL,76
SAND,28,315.8666667,SAND,2340,CLAY,7020,,,STEEL,90
SAND,29,323.1333333,SAND,2445,CLAY,7335,,,STEEL,107
SAND,30,330.2833333,SAND,2550,CLAY,7650,,,SCREWS,42
SAND,31,336.6833333,SAND,2650,CLAY,7950,,,SCREWS,50
SAND,32,343.0333333,SAND,2750,CLAY,8250,,,SCREWS,59
SAND,33,349.3333333,SAND,2850,CLAY,8550,,,SCREWS,72
SAND,34,355.6,SAND,2950,CLAY,8850,,,SCREWS,105
SAND,35,360,SAND,3035,CLAY,9105,,,SCREWS,150
COPPER,1,60,COPPER,1,SAND,30,,,EARTH,1
COPPER,2,60,COPPER,2,SAND,60,,,COPPER,1
COPPER,3,82.76666667,COPPER,4,SAND,120,,,COPPER,2
COPPER,4,113.5166667,COPPER,7,SAND,210,,,COPPER,5
COPPER,5,161.8,COPPER,12,SAND,360,,,COPPER,12
COPPER,6,209.7166667,COPPER,18,SAND,540,,,COPPER,20
COPPER,7,257.2833333,COPPER,25,SAND,750,,,COPPER,29
COPPER,8,296.3,COPPER,32,SAND,960,,,COPPER,40
COPPER,9,329.1166667,COPPER,39,SAND,1170,,,COPPER,52
COPPER,10,350.2,COPPER,45,SAND,1350,,,COPPER,66
COPPER,11,361.8833333,COPPER,50,SAND,1500,,,COPPER,83
COPPER,12,373.3,COPPER,55,SAND,1650,,,COPPER,102
COPPER,13,384.2,COPPER,60,SAND,1800,,,STEEL,25
COPPER,14,395.1333333,COPPER,65,SAND,1950,,,STEEL,30
COPPER,15,405.8,COPPER,70,SAND,2100,,,STEEL,36
COPPER,16,416.2833333,COPPER,75,SAND,2250,,,STEEL,42
COPPER,17,421.3333333,COPPER,79,SAND,2370,,,STEEL,50
COPPER,18,426.7333333,COPPER,83,SAND,2490,,,STEEL,59
COPPER,19,432.4833333,COPPER,87,SAND,2610,,,STEEL,70
COPPER,20,438.2,COPPER,91,SAND,2730,,,STEEL,82
COPPER,21,443.9333333,COPPER,95,SAND,2850,,,STEEL,95
COPPER,22,449.6666667,COPPER,99,SAND,2970,,,SCREWS,37
COPPER,23,455.4166667,COPPER,103,SAND,3090,,,SCREWS,43
COPPER,24,461.2,COPPER,107,SAND,3210,,,SCREWS,50
COPPER,25,466.7166667,COPPER,111,SAND,3330,,,SCREWS,59
COPPER,26,472.2833333,COPPER,115,SAND,3450,,,SCREWS,68
COPPER,27,473.5833333,COPPER,118,SAND,3540,,,SCREWS,79
COPPER,28,475.1333333,COPPER,121,SAND,3630,,,SCREWS,95
COPPER,29,476.9166667,COPPER,124,SAND,3720,,,SCREWS,115
COPPER,30,480,COPPER,127,SAND,3810,,,SCREWS,150
SEAWATER,1,120,SEAWATER,1,WATER,16,,,EARTH,1
SEAWATER,2,120,SEAWATER,1,WATER,12,,,COPPER,6
SEAWATER,3,120,SEAWATER,1,WATER,10,,,COPPER,10
SEAWATER,4,120,SEAWATER,1,WATER,8.8,,,COPPER,14
SEAWATER,5,120,SEAWATER,1,WATER,8,,,COPPER,20
SEAWATER,6,120,SEAWATER,2,WATER,16,,,STEEL,5
SEAWATER,7,210,SEAWATER,4,WATER,32,,,STEEL,7
SEAWATER,8,315,SEAWATER,7,WATER,56,,,STEEL,9
SEAWATER,9,405,SEAWATER,10,WATER,80,,,STEEL,11
SEAWATER,10,375,SEAWATER,10,WATER,77.34,,,STEEL,14
SEAWATER,11,350,SEAWATER,10,WATER,75.06,,,STEEL,17
SEAWATER,12,330,SEAWATER,10,WATER,73.08,,,STEEL,20
SEAWATER,13,315,SEAWATER,10,WATER,71.34,,,STEEL,24
SEAWATER,14,300,SEAWATER,10,WATER,69.79,,,STEEL,29
SEAWATER,15,285,SEAWATER,10,WATER,68.4,,,STEEL,35
SEAWATER,16,275,SEAWATER,10,WATER,67.15,,,STEEL,42
SEAWATER,17,265,SEAWATER,10,WATER,66.01,,,SCREWS,17
SEAWATER,18,255,SEAWATER,10,WATER,64.96,,,SCREWS,20
SEAWATER,19,241,SEAWATER,10,WATER,64,,,SCREWS,24
SEAWATER,20,298,SEAWATER,13,WATER,83.2,,,SCREWS,28
SEAWATER,21,372,SEAWATER,17,WATER,108.8,,,SCREWS,33
SEAWATER,22,460,SEAWATER,22,WATER,140.8,,,SCREWS,39
SEAWATER,23,522,SEAWATER,26,WATER,166.4,,,SCREWS,47
SEAWATER,24,560,SEAWATER,29,WATER,185.6,,,SCREWS,55
SEAWATER,25,559,SEAWATER,30,WATER,192,,,SCREWS,65
SEAWATER,26,540,SEAWATER,30,WATER,192,,,SCREWS,77
SEAWATER,27,523,SEAWATER,30,WATER,180.68,,,SCREWS,91
SEAWATER,28,508,SEAWATER,30,WATER,172.18,,,SCREWS,108
SEAWATER,29,494,SEAWATER,30,WATER,165.47,,,SCREWS,127
SEAWATER,30,480,SEAWATER,30,WATER,160,,,SCREWS,150
HEAT,1,150,HEAT,1,FIRE,18,,,EARTH,1
HEAT,2,150,HEAT,1,FIRE,13.5,,,COPPER,6
HEAT,3,150,HEAT,1,FIRE,11.25,,,COPPER,10
HEAT,4,150,HEAT,1,FIRE,9.9,,,COPPER,14
HEAT,5,150,HEAT,1,FIRE,9,,,COPPER,20
HEAT,6,150,HEAT,2,FIRE,18,,,STEEL,5
HEAT,7,205,HEAT,3,FIRE,27,,,STEEL,7
HEAT,8,316,HEAT,5,FIRE,45,,,STEEL,9
HEAT,9,480,HEAT,8,FIRE,72,,,STEEL,11
HEAT,10,425,HEAT,8,FIRE,69.61,,,STEEL,14
HEAT,11,384,HEAT,8,FIRE,67.56,,,STEEL,17
HEAT,12,352,HEAT,8,FIRE,65.78,,,STEEL,20
HEAT,13,327,HEAT,8,FIRE,64.21,,,STEEL,24
HEAT,14,306,HEAT,8,FIRE,62.81,,,STEEL,29
HEAT,15,288,HEAT,8,FIRE,61.56,,,STEEL,35
HEAT,16,274,HEAT,8,FIRE,60.43,,,STEEL,42
HEAT,17,261,HEAT,8,FIRE,59.41,,,SCREWS,17
HEAT,18,250,HEAT,8,FIRE,58.47,,,SCREWS,20
HEAT,19,240,HEAT,8,FIRE,57.6,,,SCREWS,24
HEAT,20,276,HEAT,10,FIRE,72,,,SCREWS,28
HEAT,21,336,HEAT,13,FIRE,93.6,,,SCREWS,33
HEAT,22,417,HEAT,17,FIRE,122.4,,,SCREWS,39
HEAT,23,492,HEAT,21,FIRE,151.2,,,SCREWS,47
HEAT,24,563,HEAT,25,FIRE,180,,,SCREWS,55
HEAT,25,544,HEAT,25,FIRE,180,,,SCREWS,65
HEAT,26,528,HEAT,25,FIRE,180,,,SCREWS,77
HEAT,27,513,HEAT,25,FIRE,169.39,,,SCREWS,91
HEAT,28,501,HEAT,25,FIRE,161.41,,,SCREWS,108
HEAT,29,490,HEAT,25,FIRE,155.13,,,SCREWS,127
HEAT,30,480,HEAT,25,FIRE,150,,,SCREWS,150
ALGAE,1,360,ALGAE,1,SEAWATER,4,,,EARTH,1
ALGAE,2,600,ALGAE,2,SEAWATER,7.92,,,STEEL,3
ALGAE,3,510,ALGAE,2,SEAWATER,7.84,,,STEEL,5
ALGAE,4,450,ALGAE,2,SEAWATER,7.76,,,STEEL,8
ALGAE,5,810,ALGAE,4,SEAWATER,15.39,,,STEEL,11
ALGAE,6,720,ALGAE,4,SEAWATER,15.26,,,STEEL,15
ALGAE,7,630,ALGAE,4,SEAWATER,15.13,,,STEEL,20
ALGAE,8,540,ALGAE,4,SEAWATER,15.01,,,STEEL,26
ALGAE,9,480,ALGAE,4,SEAWATER,14.9,,,STEEL,34
ALGAE,10,690,ALGAE,6,SEAWATER,22.18,,,SCREWS,15
ALGAE,11,630,ALGAE,6,SEAWATER,22.02,,,SCREWS,19
ALGAE,12,570,ALGAE,6,SEAWATER,21.88,,,SCREWS,24
ALGAE,13,525,ALGAE,6,SEAWATER,21.73,,,SCREWS,30
ALGAE,14,480,ALGAE,6,SEAWATER,21.59,,,SCREWS,38
ALGAE,15,630,ALGAE,8,SEAWATER,28.61,,,SCREWS,48
ALGAE,16,570,ALGAE,8,SEAWATER,28.45,,,SCREWS,61
ALGAE,17,540,ALGAE,8,SEAWATER,28.28,,,SCREWS,76
ALGAE,18,510,ALGAE,8,SEAWATER,28.12,,,SCREWS,96
ALGAE,19,480,ALGAE,8,SEAWATER,27.97,,,SCREWS,120
ALGAE,20,480,ALGAE,10,SEAWATER,34.78,,,SCREWS,150
LAVA,1,480,LAVA,1,HEAT,4,,,EARTH,1
LAVA,2,780,LAVA,2,HEAT,7.92,,,STEEL,3
LAVA,3,690,LAVA,2,HEAT,7.84,,,STEEL,5
LAVA,4,630,LAVA,2,HEAT,7.76,,,STEEL,8
LAVA,5,900,LAVA,3,HEAT,11.54,,,STEEL,11
LAVA,6,795,LAVA,3,HEAT,11.44,,,STEEL,15
LAVA,7,705,LAVA,3,HEAT,11.35,,,STEEL,20
LAVA,8,630,LAVA,3,HEAT,11.26,,,STEEL,26
LAVA,9,570,LAVA,3,HEAT,11.17,,,STEEL,34
LAVA,10,750,LAVA,4,HEAT,14.79,,,STEEL,44
LAVA,11,690,LAVA,4,HEAT,14.68,,,STEEL,56
LAVA,12,615,LAVA,4,HEAT,14.58,,,SCREWS,24
LAVA,13,540,LAVA,4,HEAT,14.49,,,SCREWS,30
LAVA,14,480,LAVA,4,HEAT,14.4,,,SCREWS,38
LAVA,15,690,LAVA,6,HEAT,21.46,,,SCREWS,48
LAVA,16,615,LAVA,6,HEAT,21.33,,,SCREWS,61
LAVA,17,570,LAVA,6,HEAT,21.21,,,SCREWS,76
LAVA,18,525,LAVA,6,HEAT,21.09,,,SCREWS,96
LAVA,19,480,LAVA,6,HEAT,20.98,,,SCREWS,120
LAVA,20,480,LAVA,8,HEAT,27.83,,,SCREWS,150
CERAMICS,1,600,CERAMICS,1,CLAY,300,SEAWATER,3,EARTH,1
CERAMICS,2,960,CERAMICS,2,CLAY,593.75,SEAWATER,5.94,STEEL,3
CERAMICS,3,840,CERAMICS,2,CLAY,587.87,SEAWATER,5.88,STEEL,5
CERAMICS,4,750,CERAMICS,2,CLAY,582.32,SEAWATER,5.82,STEEL,8
CERAMICS,5,1050,CERAMICS,3,CLAY,865.62,SEAWATER,8.66,SCREWS,4
CERAMICS,6,930,CERAMICS,3,CLAY,858.16,SEAWATER,8.58,SCREWS,5
CERAMICS,7,825,CERAMICS,3,CLAY,851.08,SEAWATER,8.51,SCREWS,7
CERAMICS,8,735,CERAMICS,3,CLAY,844.34,SEAWATER,8.44,SCREWS,9
CERAMICS,9,660,CERAMICS,3,CLAY,837.92,SEAWATER,8.38,SCREWS,11
CERAMICS,10,870,CERAMICS,4,CLAY,1109.06,SEAWATER,11.09,CERAMICS,66
CERAMICS,11,780,CERAMICS,4,CLAY,1101.25,SEAWATER,11.01,CERAMICS,84
CERAMICS,12,705,CERAMICS,4,CLAY,1093.77,SEAWATER,10.94,CERAMICS,107
CERAMICS,13,645,CERAMICS,4,CLAY,1086.6,SEAWATER,10.87,STONE,45
CERAMICS,14,600,CERAMICS,4,CLAY,1079.71,SEAWATER,10.8,STONE,57
CERAMICS,15,750,CERAMICS,5,CLAY,1341.37,SEAWATER,13.41,CEMENT,11
CERAMICS,16,660,CERAMICS,5,CLAY,1333.42,SEAWATER,13.33,CEMENT,14
CERAMICS,17,585,CERAMICS,5,CLAY,1325.75,SEAWATER,13.26,ACID,38
CERAMICS,18,525,CERAMICS,5,CLAY,1318.37,SEAWATER,13.18,ACID,48
CERAMICS,19,480,CERAMICS,5,CLAY,1311.24,SEAWATER,13.11,ACID,60
CERAMICS,20,480,CERAMICS,6,CLAY,1565.22,SEAWATER,15.65,PLASTICS,9
STEEL,1,720,STEEL,1,COPPER,5,,,EARTH,1
STEEL,2,680,STEEL,1,COPPER,4.86,,,STEEL,3
STEEL,3,650,STEEL,1,COPPER,4.74,,,STEEL,5
STEEL,4,625,STEEL,1,COPPER,4.65,,,STEEL,8
STEEL,5,605,STEEL,1,COPPER,4.57,,,STEEL,11
STEEL,6,590,STEEL,1,COPPER,4.5,,,STEEL,15
STEEL,7,575,STEEL,1,COPPER,4.44,,,STEEL,20
STEEL,8,560,STEEL,1,COPPER,4.38,,,STEEL,26
STEEL,9,550,STEEL,1,COPPER,4.34,,,STEEL,34
STEEL,10,540,STEEL,1,COPPER,4.29,,,STEEL,44
STEEL,11,532,STEEL,1,COPPER,4.25,,,STEEL,56
STEEL,12,525,STEEL,1,COPPER,4.22,,,STEEL,72
STEEL,13,519,STEEL,1,COPPER,4.18,,,STEEL,91
STEEL,14,513,STEEL,1,COPPER,4.15,,,STEEL,115
STEEL,15,507,STEEL,1,COPPER,4.12,,,SCREWS,48
STEEL,16,500,STEEL,1,COPPER,4.09,,,SCREWS,61
STEEL,17,495,STEEL,1,COPPER,4.07,,,SCREWS,76
STEEL,18,490,STEEL,1,COPPER,4.04,,,SCREWS,96
STEEL,19,485,STEEL,1,COPPER,4.02,,,SCREWS,120
STEEL,20,480,STEEL,1,COPPER,4,,,SCREWS,150
OXYGEN,1,900,OXYGEN,1,ALGAE,3,,,EARTH,1
OXYGEN,2,1500,OXYGEN,2,ALGAE,5.94,,,SCREWS,3
OXYGEN,3,1260,OXYGEN,2,ALGAE,5.88,,,SCREWS,4
OXYGEN,4,1080,OXYGEN,2,ALGAE,5.82,,,SCREWS,5
OXYGEN,5,1560,OXYGEN,3,ALGAE,8.66,,,SCREWS,7
